TimeSteps,ResultPoints,Delay(ns),FieldStrength(uV/m),DopplerShift(Hz),AoD_Azimuth(0-360),AoA_Azimuth(0-360),AoD_Elevation(0-180),AoA_Elevation(0-180)
0,1,11.8227,4.8861e+06,0,45,225,94.0447,85.9553,
0,1,51.3845,251679,0,254.249,243.572,90.9299,89.0701,
0,1,53.3925,198359,0,247.694,239.594,90.8949,89.1051,
0,1,56.0608,116844,0,255.964,245.485,90.8523,89.1477,
0,2,11.5899,4.98427e+06,0,46.1691,226.169,94.1261,85.8739,
0,2,51.2375,252401,0,254.249,244.125,90.9325,89.0675,
0,2,53.225,198984,0,247.694,240.108,90.8977,89.1023,
0,2,55.9238,117130,0,255.964,246.008,90.8544,89.1456,
0,3,11.362,5.08422e+06,0,47.3859,227.386,94.209,85.791,
0,3,51.0935,253113,0,254.249,244.683,90.9352,89.0648,
0,3,53.0601,199602,0,247.694,240.626,90.9005,89.0995,
0,3,55.7896,117412,0,255.964,246.536,90.8565,89.1435,
0,4,11.1395,5.18578e+06,0,48.6522,228.652,94.2932,85.7068,
0,4,50.9523,253814,0,254.249,245.247,90.9378,89.0622,
0,4,52.8978,200214,0,247.694,241.15,90.9033,89.0967,
0,4,55.6582,117689,0,255.964,247.068,90.8585,89.1415,
0,5,10.9226,5.28874e+06,0,49.9697,229.97,94.3786,85.6214,
0,5,50.8142,254504,0,254.249,245.815,90.9403,89.0597,
0,5,52.7383,200820,0,247.694,241.679,90.906,89.094,
0,5,55.5297,117961,0,255.964,247.604,90.8605,89.1395,
0,6,10.7118,5.39285e+06,0,51.3402,231.34,94.465,85.535,
0,6,50.6791,255182,0,254.249,246.389,90.9428,89.0572,
0,6,52.5814,201419,0,247.694,242.213,90.9087,89.0913,
0,6,55.4041,118229,0,255.964,248.144,90.8624,89.1376,
0,7,10.5073,5.49781e+06,0,52.7652,232.765,94.5521,85.4479,
0,7,50.547,255849,0,254.249,246.967,90.9453,89.0547,
0,7,52.4273,202011,0,247.694,242.753,90.9114,89.0886,
0,7,55.2814,118491,0,255.964,248.689,90.8643,89.1357,
0,8,10.3095,5.60327e+06,0,54.2461,234.246,94.6396,85.3604,
0,8,50.4181,256503,0,254.249,247.551,90.9477,89.0523,
0,8,52.276,202596,0,247.694,243.298,90.914,89.086,
0,8,55.1617,118748,0,255.964,249.237,90.8662,89.1338,
0,9,10.1189,5.70884e+06,0,55.7843,235.784,94.7272,85.2728,
0,9,50.2923,257145,0,254.249,248.139,90.9501,89.0499,
0,9,52.1276,203173,0,247.694,243.848,90.9166,89.0834,
0,9,55.0449,119000,0,255.964,249.79,90.868,89.132,
0,10,9.93579,5.81403e+06,0,57.3808,237.381,94.8145,85.1855,
0,10,50.1697,257773,0,254.249,248.733,90.9524,89.0476,
0,10,51.982,203742,0,247.694,244.404,90.9192,89.0808,
0,10,54.9312,119247,0,255.964,250.346,90.8698,89.1302,
0,11,9.76067,5.91834e+06,0,59.0362,239.036,94.9011,85.0989,
0,11,50.0504,258388,0,254.249,249.331,90.9547,89.0453,
0,11,51.8394,204302,0,247.694,244.964,90.9217,89.0783,
0,11,54.8206,119487,0,255.964,250.907,90.8716,89.1284,
0,12,9.59396,6.02119e+06,0,60.7512,240.751,94.9865,85.0135,
0,12,49.9343,258988,0,254.249,249.934,90.9569,89.0431,
0,12,51.6998,204854,0,247.694,245.53,90.9242,89.0758,
0,12,54.713,119722,0,255.964,251.471,90.8733,89.1267,
0,13,9.43609,6.12192e+06,0,62.5256,242.526,95.0701,84.9299,
0,13,49.8215,259575,0,254.249,250.542,90.9591,89.0409,
0,13,51.5631,205397,0,247.694,246.101,90.9267,89.0733,
0,13,54.6086,119951,0,255.964,252.039,90.875,89.125,
0,14,9.28753,6.21984e+06,0,64.359,244.359,95.1514,84.8486,
0,14,49.7121,260146,0,254.249,251.154,90.9612,89.0388,
0,14,51.4295,205930,0,247.694,246.677,90.9291,89.0709,
0,14,54.5073,120174,0,255.964,252.61,90.8766,89.1234,
0,15,9.14872,6.31421e+06,0,66.2505,246.251,95.2298,84.7702,
0,15,49.6061,260702,0,254.249,251.771,90.9632,89.0368,
0,15,51.2991,206454,0,247.694,247.258,90.9314,89.0686,
0,15,54.4093,120391,0,255.964,253.185,90.8782,89.1218,
0,16,9.02012,6.40424e+06,0,68.1986,248.199,95.3046,84.6954,
0,16,49.5035,261242,0,254.249,252.392,90.9652,89.0348,
0,16,51.1717,206968,0,247.694,247.845,90.9338,89.0662,
0,16,54.3144,120601,0,255.964,253.764,90.8797,89.1203,
0,17,8.90216,6.4891e+06,0,70.2011,250.201,95.3751,84.6249,
0,17,49.4043,261767,0,254.249,253.018,90.9672,89.0328,
0,17,51.0475,207472,0,247.694,248.436,90.936,89.064,
0,17,54.2228,120805,0,255.964,254.346,90.8812,89.1188,
0,18,8.79528,6.56794e+06,0,72.2553,252.255,95.4406,84.5594,
0,18,49.3087,262275,0,254.249,253.648,90.969,89.031,
0,18,50.9265,207964,0,247.694,249.031,90.9382,89.0618,
0,18,54.1344,121002,0,255.964,254.932,90.8826,89.1174,
0,19,8.69989,6.63996e+06,0,74.3578,254.358,95.5004,84.4996,
0,19,49.2165,262766,0,254.249,254.281,90.9709,89.0292,
0,19,50.8088,208446,0,247.694,249.632,90.9404,89.0596,
0,19,54.0494,121192,0,255.964,255.52,90.884,89.116,
0,20,8.61636,6.70434e+06,0,76.5043,256.504,95.5539,84.4461,
0,20,49.128,263239,0,254.249,254.919,90.9726,89.0274,
0,20,50.6944,208917,0,247.694,250.238,90.9425,89.0575,
0,20,53.9676,121376,0,255.964,256.112,90.8854,89.1146,
0,21,8.54504,6.76029e+06,0,78.6901,258.69,95.6004,84.3996,
0,21,49.043,263695,0,254.249,255.561,90.9743,89.0257,
0,21,50.5833,209376,0,247.694,250.848,90.9446,89.0554,
0,21,53.8893,121552,0,255.964,256.707,90.8867,89.1133,
0,22,8.48624,6.80713e+06,0,80.9097,260.91,95.6393,84.3607,
