TimeSteps,Delay,FieldStrength,DopplerShift,AoD_Azimuth,AoA_Azimuth,AoD_Elevation,AoA_Elevation
0,22.9515,2.51692e+06,0,271.042,91.0416,92.0822,87.9178,
0,27.1247,541684,3.77163,254.249,149.995,91.7618,88.2382,
0,28.6963,228265,4.82798,255.964,171.193,91.6652,88.3348,
1,22.9515,2.51692e+06,0,271.042,91.0416,92.0822,87.9178,
1,25.4559,669676,2.88668,256.728,135.878,91.8773,88.1227,
1,26.4774,296891,3.99006,258.275,156.145,91.8048,88.1952,
2,22.9515,2.51692e+06,0,271.042,91.0416,92.0822,87.9178,
2,24.2426,819586,1.97425,259.611,121.655,91.9713,88.0287,
2,24.7601,447479,2.83954,260.909,137.396,91.9301,88.0699,
3,22.9515,2.51692e+06,0,271.042,91.0416,92.0822,87.9178,
3,23.4646,978274,1.16118,262.985,108.906,92.0367,87.9633,
3,23.6487,677265,1.62642,263.927,118.139,92.0208,87.9792,
4,22.9515,2.51692e+06,0,271.042,91.0416,92.0822,87.9178,
4,23.057,1.13324e+06,0.492053,266.957,98.4137,92.0727,87.9273,
4,23.0925,967917,0.648955,267.397,102.056,92.0695,87.9305,
5,22.9515,155194,0,271.042,91.0416,92.0822,87.9178,
6,22.9515,155194,0,271.042,91.0416,92.0822,87.9178,
6,23.1092,93225.7,-0.556739,276.782,83.2177,92.068,87.932,
6,24.133,66886.2,-2.38419e-07,271.042,91.0416,108.119,108.119,
7,22.9515,1.26135e+06,0.00018692,271.04,91.0443,92.0822,87.9178,
7,23.5046,81266.4,-1.02075,282.505,77.4953,92.0332,87.9668,
7,22.9515,10134.9,0,271.042,91.0416,92.0822,87.9178,
