VERSION	2022-14829
DATE	2023-11-16, 09:45:26 (+0800)
ANTENNA 1	NAME	TX
ANTENNA 1	LOCATION	3.500 7.000 1.250
ANTENNA 1	FREQUENCY	2000.000
ANTENNA 1	POWER	40.000 dBm Output
ANTENNA 1	ANTENNATYPE	ISO
LOWER_LEFT	-2.00000000 -2.00000000
UPPER_RIGHT	9.00000000 9.00000000
HEIGHT	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
TIME_STEP	0.000	1.000	2.000	3.000	4.000	5.000	6.000	7.000
RESOLUTION	0.25000000

BEGIN_DATA
-1.87500 -1.87500 1.00000 -17.8596
-1.87500 -1.87500 1.00000 -17.8923
-1.87500 -1.87500 1.00000 -17.9303
-1.87500 -1.87500 1.00000 -17.9731
-1.87500 -1.87500 1.00000 -18.0200
-1.87500 -1.87500 1.00000 -18.1741
-1.87500 -1.87500 1.00000 -18.2053
-1.87500 -1.87500 1.00000 -18.1037
-1.87500 -1.62500 1.00000 -17.7950
-1.87500 -1.62500 1.00000 -17.8239
-1.87500 -1.62500 1.00000 -17.8586
-1.87500 -1.62500 1.00000 -17.8985
-1.87500 -1.62500 1.00000 -17.9428
-1.87500 -1.62500 1.00000 -18.0909
-1.87500 -1.62500 1.00000 -18.1209
-1.87500 -1.62500 1.00000 -18.0225
-1.87500 -1.37500 1.00000 -17.6650
-1.87500 -1.37500 1.00000 -17.6863
-1.87500 -1.37500 1.00000 -17.7145
-1.87500 -1.37500 1.00000 -17.7487
-1.87500 -1.37500 1.00000 -17.7878
-1.87500 -1.37500 1.00000 -17.9237
-1.87500 -1.37500 1.00000 -17.9513
-1.87500 -1.37500 1.00000 -17.8594
-1.87500 -1.12500 1.00000 -17.5331
-1.87500 -1.12500 1.00000 -17.5468
-1.87500 -1.12500 1.00000 -17.5684
-1.87500 -1.12500 1.00000 -17.5967
-1.87500 -1.12500 1.00000 -17.6307
-1.87500 -1.12500 1.00000 -17.7546
-1.87500 -1.12500 1.00000 -17.7797
-1.87500 -1.12500 1.00000 -17.6940
-1.87500 -0.87500 1.00000 -17.3989
-1.87500 -0.87500 1.00000 -17.4051
-1.87500 -0.87500 1.00000 -17.4201
-1.87500 -0.87500 1.00000 -17.4427
-1.87500 -0.87500 1.00000 -17.4715
-1.87500 -0.87500 1.00000 -17.5836
-1.87500 -0.87500 1.00000 -17.6060
-1.87500 -0.87500 1.00000 -17.5263
-1.87500 -0.62500 1.00000 -17.2619
-1.87500 -0.62500 1.00000 -17.2608
-1.87500 -0.62500 1.00000 -17.2695
-1.87500 -0.62500 1.00000 -17.2863
-1.87500 -0.62500 1.00000 -17.3100
-1.87500 -0.62500 1.00000 -17.4106
-1.87500 -0.62500 1.00000 -17.4304
-1.87500 -0.62500 1.00000 -17.3565
-1.87500 -0.37500 1.00000 -17.1216
-1.87500 -0.37500 1.00000 -17.1137
-1.87500 -0.37500 1.00000 -17.1163
-1.87500 -0.37500 1.00000 -17.1276
-1.87500 -0.37500 1.00000 -17.1463
-1.87500 -0.37500 1.00000 -17.2358
-1.87500 -0.37500 1.00000 -17.2529
-1.87500 -0.37500 1.00000 -17.1844
-1.87500 -0.12500 1.00000 -16.9775
-1.87500 -0.12500 1.00000 -16.9635
-1.87500 -0.12500 1.00000 -16.9604
-1.87500 -0.12500 1.00000 -16.9664
-1.87500 -0.12500 1.00000 -16.9802
-1.87500 -0.12500 1.00000 -17.0590
-1.87500 -0.12500 1.00000 -17.0734
-1.87500 -0.12500 1.00000 -17.0102
-1.87500 0.12500 1.00000 -16.8290
-1.87500 0.12500 1.00000 -16.8098
-1.87500 0.12500 1.00000 -16.8016
-1.87500 0.12500 1.00000 -16.8027
-1.87500 0.12500 1.00000 -16.8118
-1.87500 0.12500 1.00000 -16.8804
-1.87500 0.12500 1.00000 -16.8920
-1.87500 0.12500 1.00000 -16.8337
-1.87500 0.37500 1.00000 -16.6913
-1.87500 0.37500 1.00000 -16.6524
-1.87500 0.37500 1.00000 -16.6396
-1.87500 0.37500 1.00000 -16.6362
-1.87500 0.37500 1.00000 -16.6410
-1.87500 0.37500 1.00000 -16.7000
-1.87500 0.37500 1.00000 -16.7089
-1.87500 0.37500 1.00000 -16.6552
-1.87500 0.62500 1.00000 -16.5459
-1.87500 0.62500 1.00000 -16.5052
-1.87500 0.62500 1.00000 -16.4744
-1.87500 0.62500 1.00000 -16.4670
-1.87500 0.62500 1.00000 -16.4678
-1.87500 0.62500 1.00000 -16.5178
-1.87500 0.62500 1.00000 -16.5241
-1.87500 0.62500 1.00000 -16.4747
-1.87500 0.87500 1.00000 -16.3930
-1.87500 0.87500 1.00000 -16.3516
-1.87500 0.87500 1.00000 -16.3186
-1.87500 0.87500 1.00000 -16.2951
-1.87500 0.87500 1.00000 -16.2923
-1.87500 0.87500 1.00000 -16.3339
-1.87500 0.87500 1.00000 -16.3378
-1.87500 0.87500 1.00000 -16.2923
-1.87500 1.12500 1.00000 -16.1737
-1.87500 1.12500 1.00000 -16.1920
-1.87500 1.12500 1.00000 -16.1576
-1.87500 1.12500 1.00000 -16.1204
-1.87500 1.12500 1.00000 -16.1145
-1.87500 1.12500 1.00000 -16.1486
-1.87500 1.12500 1.00000 -16.1501
-1.87500 1.12500 1.00000 -16.1082
-1.87500 1.37500 1.00000 -15.9522
-1.87500 1.37500 1.00000 -15.9699
-1.87500 1.37500 1.00000 -15.9917
-1.87500 1.37500 1.00000 -15.9527
-1.87500 1.37500 1.00000 -15.9346
-1.87500 1.37500 1.00000 -15.9618
-1.87500 1.37500 1.00000 -15.9611
-1.87500 1.37500 1.00000 -15.9226
-1.87500 1.62500 1.00000 -15.7289
-1.87500 1.62500 1.00000 -15.7466
-1.87500 1.62500 1.00000 -15.8085
-1.87500 1.62500 1.00000 -15.7812
-1.87500 1.62500 1.00000 -15.7608
-1.87500 1.62500 1.00000 -15.7739
-1.87500 1.62500 1.00000 -15.7713
-1.87500 1.62500 1.00000 -15.7357
-1.87500 1.87500 1.00000 -15.5480
-1.87500 1.87500 1.00000 -15.5225
-1.87500 1.87500 1.00000 -15.5840
-1.87500 1.87500 1.00000 -15.6063
-1.87500 1.87500 1.00000 -15.5843
-1.87500 1.87500 1.00000 -15.5852
-1.87500 1.87500 1.00000 -15.5807
-1.87500 1.87500 1.00000 -15.5479
-1.87500 2.12500 1.00000 -15.3640
-1.87500 2.12500 1.00000 -15.3404
-1.87500 2.12500 1.00000 -15.3596
-1.87500 2.12500 1.00000 -15.3812
