TimeSteps,Delay,FieldStrength,DopplerShift,AoD_Azimuth,AoA_Azimuth,AoD_Elevation,AoA_Elevation
0,20.1696,2.86406e+06,0,294.444,114.444,92.3696,87.6304,
0,34.1771,378395,5.45727,254.249,184.821,91.3981,88.6019,
0,37.4874,282519,5.59672,247.694,184.086,91.2747,88.7253,
0,37.0231,176926,5.74307,255.964,194.845,91.2906,88.7094,
0,20.034,2.88345e+06,0,293.575,113.575,92.3856,87.6144,
0,33.8448,382109,5.46168,254.249,184.939,91.4119,88.5881,
0,37.1548,285048,5.59992,247.694,184.17,91.2861,88.7139,
0,36.701,178479,5.75322,255.964,195.195,91.302,88.698,
0,19.903,2.90242e+06,0,292.694,112.694,92.4013,87.5987,
0,33.5126,385897,5.4663,254.249,185.064,91.4259,88.5741,
0,36.8222,287623,5.60326,247.694,184.259,91.2977,88.7023,
0,36.3795,180056,5.76373,255.964,195.562,91.3135,88.6865,
0,19.7769,2.92094e+06,0,291.801,111.801,92.4166,87.5834,
0,33.1805,389759,5.47115,254.249,185.194,91.4401,88.5599,
0,36.4897,290244,5.60673,247.694,184.351,91.3095,88.6905,
0,36.0585,181659,5.77462,255.964,195.945,91.3252,88.6748,
0,19.6555,2.93897e+06,0,290.898,110.898,92.4316,87.5684,
0,32.8484,393700,5.47624,254.249,185.332,91.4547,88.5453,
0,36.1572,292913,5.61035,247.694,184.447,91.3216,88.6784,
0,35.7382,183287,5.7859,255.964,196.348,91.3371,88.6629,
0,19.5391,2.95647e+06,0,289.983,109.983,92.4461,87.5539,
0,32.5165,397719,5.48159,254.249,185.477,91.4696,88.5304,
0,35.8247,295631,5.61413,247.694,184.548,91.3338,88.6662,
0,35.4186,184941,5.7976,255.964,196.771,91.3491,88.6509,
0,19.4278,2.97342e+06,0,289.058,109.058,92.4601,87.5399,
0,32.1846,401820,5.48722,254.249,185.631,91.4847,88.5153,
0,35.4923,298400,5.61807,247.694,184.653,91.3463,88.6537,
0,35.0997,186622,5.80973,255.964,197.216,91.3614,88.6386,
0,19.3215,2.98977e+06,0,288.122,108.122,92.4736,87.5264,
0,31.8528,406006,5.49315,254.249,185.793,91.5002,88.4998,
0,35.16,301220,5.6222,247.694,184.764,91.359,88.641,
0,34.7815,188329,5.82231,255.964,197.684,91.3738,88.6262,
0,19.2205,3.00549e+06,0,287.176,107.176,92.4866,87.5134,
0,31.5211,410278,5.49942,254.249,185.964,91.516,88.484,
0,34.8277,304094,5.62651,247.694,184.879,91.372,88.628,
0,34.4643,190062,5.83535,255.964,198.178,91.3865,88.6135,
0,19.1247,3.02053e+06,0,286.22,106.22,92.4991,87.5009,
0,31.1895,414640,5.50604,254.249,186.147,91.5321,88.4679,
0,34.4955,307023,5.63102,247.694,185.001,91.3852,88.6148,
0,34.1479,191823,5.84887,255.964,198.699,91.3993,88.6007,
0,19.0344,3.03488e+06,0,285.255,105.255,92.511,87.489,
0,30.858,419094,5.51305,254.249,186.34,91.5486,88.4514,
0,34.1633,310008,5.63576,247.694,185.128,91.3987,88.6013,
0,33.8326,193611,5.8629,255.964,199.25,91.4124,88.5876,
0,18.9494,3.04848e+06,0,284.281,104.281,92.5222,87.4778,
0,30.5267,423643,5.52048,254.249,186.546,91.5654,88.4346,
0,33.8312,313052,5.64072,247.694,185.262,91.4124,88.5876,
0,33.5183,195426,5.87744,255.964,199.832,91.4256,88.5744,
0,18.87,3.06132e+06,0,283.299,103.299,92.5329,87.4671,
0,30.1955,428289,5.52838,254.249,186.766,91.5825,88.4175,
0,33.4992,316154,5.64594,247.694,185.404,91.4264,88.5736,
0,33.2052,197269,5.89251,255.964,200.45,91.4391,88.5609,
0,18.7961,3.07335e+06,0,282.308,102.308,92.5428,87.4572,
0,29.8645,433037,5.53677,254.249,187.001,91.6001,88.3999,
0,33.1672,319318,5.65143,247.694,185.553,91.4407,88.5593,
0,32.8934,199139,5.90813,255.964,201.105,91.4527,88.5473,
0,18.7279,3.08454e+06,0,281.31,101.31,92.5521,87.4479,
0,29.5336,437888,5.54572,254.249,187.253,91.618,88.382,
0,32.8354,322546,5.65721,247.694,185.711,91.4553,88.5447,
0,32.5831,201035,5.92428,255.964,201.801,91.4666,88.5335,
0,18.6654,3.09486e+06,0,280.305,100.305,92.5606,87.4394,
0,29.2029,442846,5.55529,254.249,187.524,91.6363,88.3637,
0,32.5036,325838,5.66331,247.694,185.877,91.4701,88.5299,
0,32.2743,202959,5.94099,255.964,202.543,91.4806,88.5194,
0,18.6087,3.1043e+06,0,279.293,99.2933,92.5685,87.4315,
0,28.8725,447915,5.56552,254.249,187.815,91.6551,88.3449,
0,32.172,329197,5.66975,247.694,186.054,91.4853,88.5147,
0,31.9672,204909,5.95825,255.964,203.334,91.4948,88.5052,
0,18.5578,3.11281e+06,0,278.276,98.2759,92.5755,87.4245,
0,28.5423,453096,5.5765,254.249,188.13,91.6742,88.3258,
0,31.8405,332624,5.67657,247.694,186.242,91.5008,88.4992,
0,31.662,206884,5.97603,255.964,204.179,91.5092,88.4908,
0,18.5128,3.12038e+06,0,277.253,97.2532,92.5818,87.4182,
0,28.2124,458395,5.5883,254.249,188.471,91.6938,88.3062,
0,31.5091,336123,5.68379,247.694,186.442,91.5165,88.4834,
0,31.3589,208884,5.99431,255.964,205.084,91.5238,88.4762,
0,18.4737,3.12698e+06,0,276.226,96.2258,92.5872,87.4128,
0,27.8828,463814,5.60103,254.249,188.842,91.7138,88.2862,
0,31.1778,339694,5.69145,247.694,186.654,91.5327,88.4673,
0,31.0581,210907,6.01304,255.964,206.053,91.5386,88.4614,
0,18.4405,3.13261e+06,0,275.194,95.1944,92.5919,87.4081,
0,27.5535,469357,5.61478,254.249,189.246,91.7343,88.2657,
0,30.8467,343340,5.69959,247.694,186.882,91.5491,88.4509,
0,30.7598,212951,6.03217,255.964,207.096,91.5535,88.4465,
0,18.4134,3.13723e+06,0,274.16,94.1596,92.5957,87.4043,
0,27.2246,475026,5.62969,254.249,189.689,91.7553,88.2447,
0,30.5157,347064,5.70826,247.694,187.125,91.5659,88.4341,
0,30.4645,215016,6.05159,255.964,208.217,91.5686,88.4314,
0,18.3922,3.14084e+06,0,273.122,93.1221,92.5987,87.4013,
0,26.8962,480827,5.6459,254.249,190.176,91.7767,88.2233,
0,30.1849,350867,5.71751,247.694,187.386,91.5831,88.4169,
0,30.1723,217098,6.07116,255.964,209.427,91.5838,88.4162,
0,18.3771,3.14342e+06,0,272.083,92.0826,92.6008,87.3992,
0,26.5683,486761,5.66357,254.249,190.713,91.7987,88.2013,
0,29.8544,354752,5.7274,247.694,187.667,91.6006,88.3994,
0,29.8838,219194,6.09071,255.964,210.735,91.5991,88.4009,
0,18.368,3.14498e+06,0,271.042,91.0416,92.6021,87.3979,
0,26.2411,492831,5.68292,254.249,191.31,91.8211,88.1789,
0,29.524,358721,5.738,247.694,187.97,91.6185,88.3815,
0,29.5993,221301,6.10999,255.964,212.152,91.6144,88.3856,
0,18.0318,3.20362e+06,0,270,90,92.6507,87.3493,
0,25.993,497534,5.80352,254.249,195.255,91.8385,88.1615,
0,29.2488,362098,5.82795,247.694,190.62,91.6338,88.3662,
0,29.51,221971,6.15265,255.964,216.027,91.6193,88.3807,
0,17.6986,3.26394e+06,0,270,90,92.7006,87.2994,
0,26.0897,495691,5.89084,254.249,198.435,91.8317,88.1683,
0,29.3168,361258,5.90093,247.694,192.907,91.63,88.37,
0,29.7113,220467,6.17027,255.964,218.234,91.6083,88.3917,
0,17.3654,3.32656e+06,0,270,90,92.7525,87.2475,
0,26.2036,493536,5.96636,254.249,201.501,91.8237,88.1763,
0,29.3976,360264,5.96822,247.694,195.154,91.6255,88.3745,
0,29.9224,218911,6.18238,255.964,220.314,91.597,88.403,
0,17.0322,3.39164e+06,0,270,90,92.8064,87.1936,
0,26.3337,491097,6.0306,254.249,204.444,91.8147,88.1853,
0,29.491,359124,6.0298,247.694,197.354,91.6204,88.3796,
0,30.1425,217313,6.18978,255.964,222.274,91.5853,88.4147,
0,16.699,3.4593e+06,0,270,90,92.8624,87.1376,
0,26.4791,488400,6.08429,254.249,207.255,91.8047,88.1953,
0,29.5964,357845,6.08574,247.694,199.502,91.6146,88.3854,
0,30.3708,215680,6.1932,255.964,224.119,91.5734,88.4266,
0,16.3659,3.52971e+06,0,270,90,92.9207,87.0793,
0,26.6388,485474,6.12831,254.249,209.932,91.7939,88.2061,
0,29.7134,356435,6.13617,247.694,201.595,91.6082,88.3918,
0,30.6065,214018,6.19326,255.964,225.855,91.5613,88.4387,
0,16.0328,3.60305e+06,0,270,90,92.9815,87.0185,
0,26.8115,482345,6.16359,254.249,212.471,91.7823,88.2177,
0,29.8417,354903,6.18127,247.694,203.629,91.6013,88.3987,
0,30.8491,212335,6.19052,255.964,227.49,91.549,88.451,
0,15.6997,3.6795e+06,0,270,90,93.0448,86.9552,
0,26.9964,479042,6.19111,254.249,214.875,91.7701,88.2299,
0,29.9806,353259,6.22128,247.694,205.602,91.5939,88.4061,
0,31.0979,210636,6.18546,255.964,229.028,91.5366,88.4634,
0,15.3666,3.75926e+06,0,270,90,93.1108,86.8892,
0,27.1925,475588,6.2118,254.249,217.147,91.7574,88.2426,
0,30.1297,351511,6.25646,247.694,207.512,91.586,88.414,
0,31.3525,208927,6.17851,255.964,230.477,91.5241,88.4759,
0,15.0335,3.84254e+06,0,270,90,93.1798,86.8202,
0,27.3988,472007,6.22657,254.249,219.289,91.7441,88.2559,
