VERSION	2022-14829
DATE	2023-11-30, 20:55:49 (+0800)
ANTENNA 1	NAME	TX
ANTENNA 1	LOCATION	3.500 7.000 1.250
ANTENNA 1	FREQUENCY	2000.000
ANTENNA 1	POWER	40.000 dBm Output
ANTENNA 1	ANTENNATYPE	ISO
LOWER_LEFT	0.95000000 4.45000000
UPPER_RIGHT	6.05000008 9.55000008
HEIGHT	1.500	1.500	1.500	1.500	1.500	1.500	1.500	1.500
TIME_STEP	6.000	7.000	-92559631349317830736831783200707727132248687965119994463780864.000	1.000	-92559592117432085048314575726599458587665836569856067908927488.000	-92559631349317830736831783200707727132248687965119994463780864.000	-92559631349317830736831783200707727132248687965119994463780864.000	-92559631349317830736831783200707727132248687965119994463780864.000
RESOLUTION	0.10000000

Trajectory	x-Coordinate [m]	y-Coordinate [m]	z-Coordinate [m]	Yaw [deg]	Pitch [deg]	Roll [deg]	Time Stamp [s]	Velocity [m/s]	Distance to start of trajectory [m]	Power [dBm]
0	6.00000	9.50000	1.00000	0.00000	0.00000	0.00000	0.0000	2.5000	0.0000	-9.4063
0	5.90000	9.50000	1.00000	0.00000	0.00000	0.00000	0.0400	2.5000	0.1000	-9.2350
0	5.80000	9.50000	1.00000	0.00000	0.00000	0.00000	0.0800	2.5000	0.2000	-9.0639
0	5.70000	9.50000	1.00000	0.00000	0.00000	0.00000	0.1200	2.5000	0.3000	-8.8935
0	5.60000	9.50000	1.00000	0.00000	0.00000	0.00000	0.1600	2.5000	0.4000	-8.7241
0	5.50000	9.50000	1.00000	0.00000	0.00000	0.00000	0.2000	2.5000	0.5000	-8.5560
0	5.40000	9.50000	1.00000	0.00000	0.00000	0.00000	0.2400	2.5000	0.6000	-8.3898
0	5.30000	9.50000	1.00000	0.00000	0.00000	0.00000	0.2800	2.5000	0.7000	-8.2260
0	5.20000	9.50000	1.00000	0.00000	0.00000	0.00000	0.3200	2.5000	0.8000	-8.0650
0	5.10000	9.50000	1.00000	0.00000	0.00000	0.00000	0.3600	2.5000	0.9000	-7.9075
0	5.00000	9.50000	1.00000	0.00000	0.00000	0.00000	0.4000	2.5000	1.0000	-7.7540
0	4.90000	9.50000	1.00000	0.00000	0.00000	0.00000	0.4400	2.5000	1.1000	-7.6054
0	4.80000	9.50000	1.00000	0.00000	0.00000	0.00000	0.4800	2.5000	1.2000	-7.4622
0	4.70000	9.50000	1.00000	0.00000	0.00000	0.00000	0.5200	2.5000	1.3000	-7.2363
0	4.60000	9.50000	1.00000	0.00000	0.00000	0.00000	0.5600	2.5000	1.4000	-7.1090
0	4.50000	9.50000	1.00000	0.00000	0.00000	0.00000	0.6000	2.5000	1.5000	-6.9891
0	4.40000	9.50000	1.00000	0.00000	0.00000	0.00000	0.6400	2.5000	1.6000	-6.8777
0	4.30000	9.50000	1.00000	0.00000	0.00000	0.00000	0.6800	2.5000	1.7000	-6.7755
0	4.20000	9.50000	1.00000	0.00000	0.00000	0.00000	0.7200	2.5000	1.8000	-6.6831
0	4.10000	9.50000	1.00000	0.00000	0.00000	0.00000	0.7600	2.5000	1.9000	-6.6014
0	4.00000	9.50000	1.00000	0.00000	0.00000	0.00000	0.8000	2.5000	2.0000	-6.5310
0	3.90000	9.50000	1.00000	0.00000	0.00000	0.00000	0.8400	2.5000	2.1000	-6.4725
0	3.80000	9.50000	1.00000	0.00000	0.00000	0.00000	0.8800	2.5000	2.2000	-6.4265
0	3.70000	9.50000	1.00000	0.00000	0.00000	0.00000	0.9200	2.5000	2.3000	-6.3934
0	3.60000	9.50000	1.00000	0.00000	0.00000	0.00000	0.9600	2.5000	2.4000	-6.3734
0	3.50000	9.50000	1.00000	0.00000	0.00000	0.00000	1.0000	2.5000	2.5000	-6.3667
0	3.40000	9.50000	1.00000	0.00000	0.00000	0.00000	1.0400	2.5000	2.6000	-6.3734
0	3.30000	9.50000	1.00000	0.00000	0.00000	0.00000	1.0800	2.5000	2.7000	-6.3934
0	3.20000	9.50000	1.00000	0.00000	0.00000	0.00000	1.1200	2.5000	2.8000	-6.4266
0	3.10000	9.50000	1.00000	0.00000	0.00000	0.00000	1.1600	2.5000	2.9000	-6.4726
0	3.00000	9.50000	1.00000	0.00000	0.00000	0.00000	1.2000	2.5000	3.0000	-6.5311
0	2.90000	9.50000	1.00000	0.00000	0.00000	0.00000	1.2400	2.5000	3.1000	-6.6015
0	2.80000	9.50000	1.00000	0.00000	0.00000	0.00000	1.2800	2.5000	3.2000	-6.6834
0	2.70000	9.50000	1.00000	0.00000	0.00000	0.00000	1.3200	2.5000	3.3000	-6.8551
0	2.60000	9.50000	1.00000	0.00000	0.00000	0.00000	1.3600	2.5000	3.4000	-6.9594
0	2.50000	9.50000	1.00000	0.00000	0.00000	0.00000	1.4000	2.5000	3.5000	-7.0731
0	2.40000	9.50000	1.00000	0.00000	0.00000	0.00000	1.4400	2.5000	3.6000	-7.1953
0	2.30000	9.50000	1.00000	0.00000	0.00000	0.00000	1.4800	2.5000	3.7000	-7.3254
0	2.20000	9.50000	1.00000	0.00000	0.00000	0.00000	1.5200	2.5000	3.8000	-7.4624
0	2.10000	9.50000	1.00000	0.00000	0.00000	0.00000	1.5600	2.5000	3.9000	-7.6056
0	2.00000	9.50000	1.00000	0.00000	0.00000	0.00000	1.6000	2.5000	4.0000	-7.7543
0	1.90000	9.50000	1.00000	0.00000	0.00000	0.00000	1.6400	2.5000	4.1000	-7.9077
0	1.80000	9.50000	1.00000	0.00000	0.00000	0.00000	1.6800	2.5000	4.2000	-8.0653
0	1.70000	9.50000	1.00000	0.00000	0.00000	0.00000	1.7200	2.5000	4.3000	-8.2263
0	1.60000	9.50000	1.00000	0.00000	0.00000	0.00000	1.7600	2.5000	4.4000	-8.3902
0	1.50000	9.50000	1.00000	0.00000	0.00000	0.00000	1.8000	2.5000	4.5000	-8.5564
0	1.40000	9.50000	1.00000	0.00000	0.00000	0.00000	1.8400	2.5000	4.6000	-8.7245
0	1.30000	9.50000	1.00000	0.00000	0.00000	0.00000	1.8800	2.5000	4.7000	-8.8939
0	1.20000	9.50000	1.00000	0.00000	0.00000	0.00000	1.9200	2.5000	4.8000	-9.0644
0	1.10000	9.50000	1.00000	0.00000	0.00000	0.00000	1.9600	2.5000	4.9000	-9.2355
0	1.00000	9.50000	1.00000	0.00000	0.00000	0.00000	2.0000	2.5000	5.0000	-9.4068
0	1.00000	9.40000	1.00000	0.00000	0.00000	0.00000	2.0400	2.5000	5.1000	-9.2350
0	1.00000	9.30000	1.00000	0.00000	0.00000	0.00000	2.0800	2.5000	5.2000	-9.0635
0	1.00000	9.20000	1.00000	0.00000	0.00000	0.00000	2.1200	2.5000	5.3000	-8.8926
0	1.00000	9.10000	1.00000	0.00000	0.00000	0.00000	2.1600	2.5000	5.4000	-8.7227
0	1.00000	9.00000	1.00000	0.00000	0.00000	0.00000	2.2000	2.5000	5.5000	-8.5542
0	1.00000	8.90000	1.00000	0.00000	0.00000	0.00000	2.2400	2.5000	5.6000	-8.3876
0	1.00000	8.80000	1.00000	0.00000	0.00000	0.00000	2.2800	2.5000	5.7000	-8.2233
0	1.00000	8.70000	1.00000	0.00000	0.00000	0.00000	2.3200	2.5000	5.8000	-8.0619
0	1.00000	8.60000	1.00000	0.00000	0.00000	0.00000	2.3600	2.5000	5.9000	-7.9040
0	1.00000	8.50000	1.00000	0.00000	0.00000	0.00000	2.4000	2.5000	6.0000	-7.7502
0	1.00000	8.40000	1.00000	0.00000	0.00000	0.00000	2.4400	2.5000	6.1000	-7.6011
0	1.00000	8.30000	1.00000	0.00000	0.00000	0.00000	2.4800	2.5000	6.2000	-7.4575
0	1.00000	8.20000	1.00000	0.00000	0.00000	0.00000	2.5200	2.5000	6.3000	-7.3201
0	1.00000	8.10000	1.00000	0.00000	0.00000	0.00000	2.5600	2.5000	6.4000	-7.1897
0	1.00000	8.00000	1.00000	0.00000	0.00000	0.00000	2.6000	2.5000	6.5000	-7.0670
0	1.00000	7.90000	1.00000	0.00000	0.00000	0.00000	2.6400	2.5000	6.6000	-6.9529
0	1.00000	7.80000	1.00000	0.00000	0.00000	0.00000	2.6800	2.5000	6.7000	-6.8482
0	1.00000	7.70000	1.00000	0.00000	0.00000	0.00000	2.7200	2.5000	6.8000	-6.7535
0	1.00000	7.60000	1.00000	0.00000	0.00000	0.00000	2.7600	2.5000	6.9000	-6.6697
0	1.00000	7.50000	1.00000	0.00000	0.00000	0.00000	2.8000	2.5000	7.0000	-6.5974
0	1.00000	7.40000	1.00000	0.00000	0.00000	0.00000	2.8400	2.5000	7.1000	-6.5373
0	1.00000	7.30000	1.00000	0.00000	0.00000	0.00000	2.8800	2.5000	7.2000	-6.4897
0	1.00000	7.20000	1.00000	0.00000	0.00000	0.00000	2.9200	2.5000	7.3000	-6.4553
0	1.00000	7.10000	1.00000	0.00000	0.00000	0.00000	2.9600	2.5000	7.4000	-6.4342
0	1.00000	7.00000	1.00000	0.00000	0.00000	0.00000	3.0000	2.5000	7.5000	-6.4267
0	1.00000	6.90000	1.00000	0.00000	0.00000	0.00000	3.0400	2.5000	7.6000	-6.4328
0	1.00000	6.80000	1.00000	0.00000	0.00000	0.00000	3.0800	2.5000	7.7000	-6.4524
0	1.00000	6.70000	1.00000	0.00000	0.00000	0.00000	3.1200	2.5000	7.8000	-6.4854
0	1.00000	6.60000	1.00000	0.00000	0.00000	0.00000	3.1600	2.5000	7.9000	-6.5314
0	1.00000	6.50000	1.00000	0.00000	0.00000	0.00000	3.2000	2.5000	8.0000	-6.5900
0	1.00000	6.40000	1.00000	0.00000	0.00000	0.00000	3.2400	2.5000	8.1000	-6.6607
0	1.00000	6.30000	1.00000	0.00000	0.00000	0.00000	3.2800	2.5000	8.2000	-6.7428
0	1.00000	6.20000	1.00000	0.00000	0.00000	0.00000	3.3200	2.5000	8.3000	-6.8357
0	1.00000	6.10000	1.00000	0.00000	0.00000	0.00000	3.3600	2.5000	8.4000	-6.9385
0	1.00000	6.00000	1.00000	0.00000	0.00000	0.00000	3.4000	2.5000	8.5000	-7.0506
0	1.00000	5.90000	1.00000	0.00000	0.00000	0.00000	3.4400	2.5000	8.6000	-7.1711
0	1.00000	5.80000	1.00000	0.00000	0.00000	0.00000	3.4800	2.5000	8.7000	-7.2992
0	1.00000	5.70000	1.00000	0.00000	0.00000	0.00000	3.5200	2.5000	8.8000	-7.4341
0	1.00000	5.60000	1.00000	0.00000	0.00000	0.00000	3.5600	2.5000	8.9000	-7.5751
0	1.00000	5.50000	1.00000	0.00000	0.00000	0.00000	3.6000	2.5000	9.0000	-7.7214
0	1.00000	5.40000	1.00000	0.00000	0.00000	0.00000	3.6400	2.5000	9.1000	-7.8723
0	1.00000	5.30000	1.00000	0.00000	0.00000	0.00000	3.6800	2.5000	9.2000	-8.0271
0	1.00000	5.20000	1.00000	0.00000	0.00000	0.00000	3.7200	2.5000	9.3000	-8.1851
0	1.00000	5.10000	1.00000	0.00000	0.00000	0.00000	3.7600	2.5000	9.4000	-8.3458
0	1.00000	5.00000	1.00000	0.00000	0.00000	0.00000	3.8000	2.5000	9.5000	-8.5087
0	1.00000	4.90000	1.00000	0.00000	0.00000	0.00000	3.8400	2.5000	9.6000	-8.6732
0	1.00000	4.80000	1.00000	0.00000	0.00000	0.00000	3.8800	2.5000	9.7000	-8.8389
0	1.00000	4.70000	1.00000	0.00000	0.00000	0.00000	3.9200	2.5000	9.8000	-9.0054
0	1.00000	4.60000	1.00000	0.00000	0.00000	0.00000	3.9600	2.5000	9.9000	-9.1723
0	1.00000	4.50000	1.00000	0.00000	0.00000	0.00000	4.0000	2.5000	10.0000	-9.3393
0	1.10000	4.50000	1.00000	0.00000	0.00000	0.00000	4.0400	2.5000	10.1000	-9.1679
0	1.20000	4.50000	1.00000	0.00000	0.00000	0.00000	4.0800	2.5000	10.2000	-8.9967
0	1.30000	4.50000	1.00000	0.00000	0.00000	0.00000	4.1200	2.5000	10.3000	-8.8262
0	1.40000	4.50000	1.00000	0.00000	0.00000	0.00000	4.1600	2.5000	10.4000	-8.6567
0	1.50000	4.50000	1.00000	0.00000	0.00000	0.00000	4.2000	2.5000	10.5000	-8.4886
0	1.60000	4.50000	1.00000	0.00000	0.00000	0.00000	4.2400	2.5000	10.6000	-8.3223
0	1.70000	4.50000	1.00000	0.00000	0.00000	0.00000	4.2800	2.5000	10.7000	-8.1583
0	1.80000	4.50000	1.00000	0.00000	0.00000	0.00000	4.3200	2.5000	10.8000	-7.9972
0	1.90000	4.50000	1.00000	0.00000	0.00000	0.00000	4.3600	2.5000	10.9000	-7.8396
0	2.00000	4.50000	1.00000	0.00000	0.00000	0.00000	4.4000	2.5000	11.0000	-7.6860
0	2.10000	4.50000	1.00000	0.00000	0.00000	0.00000	4.4400	2.5000	11.1000	-7.5372
0	2.20000	4.50000	1.00000	0.00000	0.00000	0.00000	4.4800	2.5000	11.2000	-7.3938
0	2.30000	4.50000	1.00000	0.00000	0.00000	0.00000	4.5200	2.5000	11.3000	-7.2566
0	2.40000	4.50000	1.00000	0.00000	0.00000	0.00000	4.5600	2.5000	11.4000	-7.1263
0	2.50000	4.50000	1.00000	0.00000	0.00000	0.00000	4.6000	2.5000	11.5000	-7.0038
0	2.60000	4.50000	1.00000	0.00000	0.00000	0.00000	4.6400	2.5000	11.6000	-6.8899
0	2.70000	4.50000	1.00000	0.00000	0.00000	0.00000	4.6800	2.5000	11.7000	-6.7853
0	2.80000	4.50000	1.00000	0.00000	0.00000	0.00000	4.7200	2.5000	11.8000	-6.6908
0	2.90000	4.50000	1.00000	0.00000	0.00000	0.00000	4.7600	2.5000	11.9000	-6.6072
0	3.00000	4.50000	1.00000	0.00000	0.00000	0.00000	4.8000	2.5000	12.0000	-6.5351
0	3.10000	4.50000	1.00000	0.00000	0.00000	0.00000	4.8400	2.5000	12.1000	-6.4752
0	3.20000	4.50000	1.00000	0.00000	0.00000	0.00000	4.8800	2.5000	12.2000	-6.1512
0	3.30000	4.50000	1.00000	0.00000	0.00000	0.00000	4.9200	2.5000	12.3000	-6.1202
0	3.40000	4.50000	1.00000	0.00000	0.00000	0.00000	4.9600	2.5000	12.4000	-6.1015
0	3.50000	4.50000	1.00000	0.00000	0.00000	0.00000	5.0000	2.5000	12.5000	-6.0952
0	3.60000	4.50000	1.00000	0.00000	0.00000	0.00000	5.0400	2.5000	12.6000	-6.1011
0	3.70000	4.50000	1.00000	0.00000	0.00000	0.00000	5.0800	2.5000	12.7000	-6.1194
0	3.80000	4.50000	1.00000	0.00000	0.00000	0.00000	5.1200	2.5000	12.8000	-6.1501
0	3.90000	4.50000	1.00000	0.00000	0.00000	0.00000	5.1600	2.5000	12.9000	-6.1930
0	4.00000	4.50000	1.00000	0.00000	0.00000	0.00000	5.2000	2.5000	13.0000	-6.2479
0	4.10000	4.50000	1.00000	0.00000	0.00000	0.00000	5.2400	2.5000	13.1000	-6.3147
0	4.20000	4.50000	1.00000	0.00000	0.00000	0.00000	5.2800	2.5000	13.2000	-6.6881
0	4.30000	4.50000	1.00000	0.00000	0.00000	0.00000	5.3200	2.5000	13.3000	-6.7823
0	4.40000	4.50000	1.00000	0.00000	0.00000	0.00000	5.3600	2.5000	13.4000	-6.8866
0	4.50000	4.50000	1.00000	0.00000	0.00000	0.00000	5.4000	2.5000	13.5000	-7.0003
0	4.60000	4.50000	1.00000	0.00000	0.00000	0.00000	5.4400	2.5000	13.6000	-7.1225
0	4.70000	4.50000	1.00000	0.00000	0.00000	0.00000	5.4800	2.5000	13.7000	-7.2526
0	4.80000	4.50000	1.00000	0.00000	0.00000	0.00000	5.5200	2.5000	13.8000	-7.3896
0	4.90000	4.50000	1.00000	0.00000	0.00000	0.00000	5.5600	2.5000	13.9000	-7.5328
0	5.00000	4.50000	1.00000	0.00000	0.00000	0.00000	5.6000	2.5000	14.0000	-7.6815
0	5.10000	4.50000	1.00000	0.00000	0.00000	0.00000	5.6400	2.5000	14.1000	-7.8350
0	5.20000	4.50000	1.00000	0.00000	0.00000	0.00000	5.6800	2.5000	14.2000	-7.9925
