VERSION	2021-2098
DATE	2021-07-09, 10:34:33 (+0800)
ANTENNA 1	NAME	TX
ANTENNA 1	LOCATION	3.500 7.000 1.250
ANTENNA 1	FREQUENCY	2000.000
ANTENNA 1	POWER	40.000 dBm Output
ANTENNA 1	ANTENNATYPE	ISO
LOWER_LEFT	3.45000000 1.45000000
UPPER_RIGHT	6.05000004 6.55000008
HEIGHT	1.500
TIME_STEP	0.000
RESOLUTION	0.10000000

Trajectory	x-Coordinate [m]	y-Coordinate [m]	z-Coordinate [m]	Yaw [deg]	Pitch [deg]	Roll [deg]	Time Stamp [s]	Velocity [m/s]	Distance to start of trajectory [m]	Power [dBm]
0	6.00000	1.50000	1.25000	0.00000	0.00000	0.00000	0.0000	1.0000	0.0000	-16.3872
0	5.90000	1.50000	1.25000	0.00000	0.00000	0.00000	0.1000	1.0000	0.1000	-19.4142
0	5.80000	1.50000	1.25000	0.00000	0.00000	0.00000	0.2000	1.0000	0.2000	-19.5130
0	5.70000	1.50000	1.25000	0.00000	0.00000	0.00000	0.3000	1.0000	0.3000	-20.5918
0	5.60000	1.50000	1.25000	0.00000	0.00000	0.00000	0.4000	1.0000	0.4000	-20.6380
0	5.50000	1.50000	1.25000	0.00000	0.00000	0.00000	0.5000	1.0000	0.5000	-20.5114
0	5.40000	1.50000	1.25000	0.00000	0.00000	0.00000	0.6000	1.0000	0.6000	-20.4288
0	5.30000	1.50000	1.25000	0.00000	0.00000	0.00000	0.7000	1.0000	0.7000	-20.4894
0	5.20000	1.50000	1.25000	0.00000	0.00000	0.00000	0.8000	1.0000	0.8000	-21.4540
0	5.10000	1.50000	1.25000	0.00000	0.00000	0.00000	0.9000	1.0000	0.9000	-16.7808
0	5.00000	1.50000	1.25000	0.00000	0.00000	0.00000	1.0000	1.0000	1.0000	-16.8987
0	4.90000	1.50000	1.25000	0.00000	0.00000	0.00000	1.1000	1.0000	1.1000	-16.0603
0	4.80000	1.50000	1.25000	0.00000	0.00000	0.00000	1.2000	1.0000	1.2000	-15.9072
0	4.70000	1.50000	1.25000	0.00000	0.00000	0.00000	1.3000	1.0000	1.3000	-15.9558
0	4.60000	1.50000	1.25000	0.00000	0.00000	0.00000	1.4000	1.0000	1.4000	-15.9876
0	4.50000	1.50000	1.25000	0.00000	0.00000	0.00000	1.5000	1.0000	1.5000	-16.0085
0	4.40000	1.50000	1.25000	0.00000	0.00000	0.00000	1.6000	1.0000	1.6000	-16.1208
0	4.30000	1.50000	1.25000	0.00000	0.00000	0.00000	1.7000	1.0000	1.7000	-16.2101
0	4.20000	1.50000	1.25000	0.00000	0.00000	0.00000	1.8000	1.0000	1.8000	-16.2071
0	4.10000	1.50000	1.25000	0.00000	0.00000	0.00000	1.9000	1.0000	1.9000	-16.2430
0	4.00000	1.50000	1.25000	0.00000	0.00000	0.00000	2.0000	1.0000	2.0000	-16.2414
0	3.90000	1.50000	1.25000	0.00000	0.00000	0.00000	2.1000	1.0000	2.1000	-16.0844
0	3.80000	1.50000	1.25000	0.00000	0.00000	0.00000	2.2000	1.0000	2.2000	-15.7761
0	3.70000	1.50000	1.25000	0.00000	0.00000	0.00000	2.3000	1.0000	2.3000	-15.7769
0	3.60000	1.50000	1.25000	0.00000	0.00000	0.00000	2.4000	1.0000	2.4000	-15.7776
0	3.50000	1.60000	1.25000	0.00000	0.00000	0.00000	2.6000	1.0000	2.6000	-15.6905
0	3.50000	1.70000	1.25000	0.00000	0.00000	0.00000	2.7000	1.0000	2.7000	-15.5972
0	3.50000	1.80000	1.25000	0.00000	0.00000	0.00000	2.8000	1.0000	2.8000	-15.5011
0	3.50000	1.90000	1.25000	0.00000	0.00000	0.00000	2.9000	1.0000	2.9000	-15.3998
0	3.50000	2.00000	1.25000	0.00000	0.00000	0.00000	3.0000	1.0000	3.0000	-15.2950
0	3.50000	2.10000	1.25000	0.00000	0.00000	0.00000	3.1000	1.0000	3.1000	-15.1865
0	3.50000	2.20000	1.25000	0.00000	0.00000	0.00000	3.2000	1.0000	3.2000	-15.0742
0	3.50000	2.30000	1.25000	0.00000	0.00000	0.00000	3.3000	1.0000	3.3000	-14.9579
0	3.50000	2.40000	1.25000	0.00000	0.00000	0.00000	3.4000	1.0000	3.4000	-14.8372
0	3.50000	2.50000	1.25000	0.00000	0.00000	0.00000	3.5000	1.0000	3.5000	-14.8936
0	3.50000	2.60000	1.25000	0.00000	0.00000	0.00000	3.6000	1.0000	3.6000	-14.7490
0	3.50000	2.70000	1.25000	0.00000	0.00000	0.00000	3.7000	1.0000	3.7000	-14.5996
0	3.50000	2.80000	1.25000	0.00000	0.00000	0.00000	3.8000	1.0000	3.8000	-14.4453
0	3.50000	2.90000	1.25000	0.00000	0.00000	0.00000	3.9000	1.0000	3.9000	-14.2858
0	3.50000	3.00000	1.25000	0.00000	0.00000	0.00000	4.0000	1.0000	4.0000	-14.1207
0	3.50000	3.10000	1.25000	0.00000	0.00000	0.00000	4.1000	1.0000	4.1000	-13.9026
0	3.50000	3.20000	1.25000	0.00000	0.00000	0.00000	4.2000	1.0000	4.2000	-13.7238
0	3.50000	3.30000	1.25000	0.00000	0.00000	0.00000	4.3000	1.0000	4.3000	-13.5390
0	3.50000	3.40000	1.25000	0.00000	0.00000	0.00000	4.4000	1.0000	4.4000	-13.3478
0	3.50000	3.50000	1.25000	0.00000	0.00000	0.00000	4.5000	1.0000	4.5000	-13.1499
0	3.50000	3.60000	1.25000	0.00000	0.00000	0.00000	4.6000	1.0000	4.6000	-12.9446
0	3.50000	3.70000	1.25000	0.00000	0.00000	0.00000	4.7000	1.0000	4.7000	-12.7314
0	3.50000	3.80000	1.25000	0.00000	0.00000	0.00000	4.8000	1.0000	4.8000	-12.5067
0	3.50000	3.90000	1.25000	0.00000	0.00000	0.00000	4.9000	1.0000	4.9000	-12.2694
0	3.50000	4.00000	1.25000	0.00000	0.00000	0.00000	5.0000	1.0000	5.0000	-12.0225
0	3.50000	4.10000	1.25000	0.00000	0.00000	0.00000	5.1000	1.0000	5.1000	-11.6908
0	3.50000	4.20000	1.25000	0.00000	0.00000	0.00000	5.2000	1.0000	5.2000	-11.4272
0	3.50000	4.30000	1.25000	0.00000	0.00000	0.00000	5.3000	1.0000	5.3000	-11.1510
0	3.50000	4.40000	1.25000	0.00000	0.00000	0.00000	5.4000	1.0000	5.4000	-10.8625
0	3.50000	4.50000	1.25000	0.00000	0.00000	0.00000	5.5000	1.0000	5.5000	-10.5606
0	3.50000	4.60000	1.25000	0.00000	0.00000	0.00000	5.6000	1.0000	5.6000	-10.2442
0	3.50000	4.70000	1.25000	0.00000	0.00000	0.00000	5.7000	1.0000	5.7000	-9.9119
0	3.50000	4.80000	1.25000	0.00000	0.00000	0.00000	5.8000	1.0000	5.8000	-9.5531
0	3.50000	4.90000	1.25000	0.00000	0.00000	0.00000	5.9000	1.0000	5.9000	-9.1851
0	3.50000	5.00000	1.25000	0.00000	0.00000	0.00000	6.0000	1.0000	6.0000	-8.7965
0	3.50000	5.10000	1.25000	0.00000	0.00000	0.00000	6.1000	1.0000	6.1000	-8.3849
0	3.50000	5.20000	1.25000	0.00000	0.00000	0.00000	6.2000	1.0000	6.2000	-7.9480
0	3.50000	5.30000	1.25000	0.00000	0.00000	0.00000	6.3000	1.0000	6.3000	-7.4829
0	3.50000	5.40000	1.25000	0.00000	0.00000	0.00000	6.4000	1.0000	6.4000	-6.9860
0	3.50000	5.50000	1.25000	0.00000	0.00000	0.00000	6.5000	1.0000	6.5000	-6.4535
0	3.50000	5.60000	1.25000	0.00000	0.00000	0.00000	6.6000	1.0000	6.6000	-5.8805
0	3.50000	5.70000	1.25000	0.00000	0.00000	0.00000	6.7000	1.0000	6.7000	-5.2612
0	3.50000	5.80000	1.25000	0.00000	0.00000	0.00000	6.8000	1.0000	6.8000	-4.5883
0	3.50000	5.90000	1.25000	0.00000	0.00000	0.00000	6.9000	1.0000	6.9000	-3.8529
0	3.50000	6.00000	1.25000	0.00000	0.00000	0.00000	7.0000	1.0000	7.0000	-3.0462
0	3.50000	6.10000	1.25000	0.00000	0.00000	0.00000	7.1000	1.0000	7.1000	-2.1463
0	3.50000	6.20000	1.25000	0.00000	0.00000	0.00000	7.2000	1.0000	7.2000	-1.1367
0	3.50000	6.30000	1.25000	0.00000	0.00000	0.00000	7.3000	1.0000	7.3000	0.0116
0	3.50000	6.40000	1.25000	0.00000	0.00000	0.00000	7.4000	1.0000	7.4000	1.3408
0	3.50000	6.50000	1.25000	0.00000	0.00000	0.00000	7.5000	1.0000	7.5000	2.9165
